コード,銘柄名
1494,Ｏｎｅ　ＥＴＦ　高配当日本株
1495,上場インデックスファンドアジアリート
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信
1514,住石ホールディングス
1515,日鉄鉱業
1518,三井松島ホールディングス
1540,純金上場信託（現物国内保管型）
1541,純プラチナ上場信託（現物国内保管型）
1542,純銀上場信託（現物国内保管型）
1543,純パラジウム上場信託（現物国内保管型）
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信
1551,東証スタンダードＴＯＰ２０ＥＴＦ
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
1563,東証グロース・コアＥＴＦ
1566,上場インデックスファンド新興国債券
1568,ＴＯＰＩＸブル２倍上場投信
1569,ＴＯＰＩＸベア上場投信
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信
1572,中国Ｈ株ブル２倍上場投信
1573,中国Ｈ株ベア上場投信
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信
1578,上場インデックスファンド日経２２５（ミニ）
1579,日経平均ブル２倍上場投信
1580,日経平均ベア上場投信
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信
1592,上場インデックスファンドＪＰＸ日経インデックス４００
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1597,ＭＡＸＩＳ　Ｊリート上場投信
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００
1605,ＩＮＰＥＸ
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ
1659,ｉシェアーズ　米国リート　ＥＴＦ
1660,ＭＡＸＩＳ高利回りＪリート上場投信
1662,石油資源開発
1663,Ｋ＆Ｏエナジーグループ
1671,ＷＴＩ原油価格連動型上場投信
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信
1711,ＳＤＳホールディングス
1712,ダイセキ環境ソリューション
1716,第一カッター興業
1717,明豊ファシリティワークス
1718,美樹工業
1719,安藤・間
1720,東急建設
1721,コムシスホールディングス
1723,日本電技
1724,シンクレイヤ
1726,ビーアールホールディングス
1736,オーテック
1743,コーアツ工業
1758,太洋基礎工業
1762,高松コンストラクショングループ
1764,工藤建設
1766,東建コーポレーション
1768,ソネック
1770,藤田エンジニアリング
1773,ワイ・ティー・エル・コーポレーション・バーハッド
1776,三井住建道路
1780,ヤマウラ
1783,ｆａｎｔａｓｉｓｔａ
1786,オリエンタル白石
1787,ナカボーテック
1788,三東工業社
1793,大本組
1795,マサル
1798,守谷商会
1799,第一建設工業
1801,大成建設
1802,大林組
1803,清水建設
1807,佐藤渡辺
1808,長谷工コーポレーション
1810,松井建設
1811,錢高組
1812,鹿島建設
1813,不動テトラ
1814,大末建設
1815,鉄建建設
1820,西松建設
1821,三井住友建設
1822,大豊建設
1826,佐田建設
1827,ナカノフドー建設
1828,田辺工業
1833,奥村組
1835,東鉄工業
1840,土屋ホールディングス
1841,サンユー建設
1844,大盛工業
1847,イチケン
1848,富士ピー・エス
1850,南海辰村建設
1852,淺沼組
1853,森組
1860,戸田建設
1861,熊谷組
1866,北野建設
1867,植木組
1870,矢作建設工業
1871,ピーエス・コンストラクション
1873,日本ハウスホールディングス
1878,大東建託
1879,新日本建設
1882,東亜道路工業
1884,日本道路
1885,東亜建設工業
1887,日本国土開発
1888,若築建設
1890,東洋建設
1893,五洋建設
1897,金下建設
1898,世紀東急工業
1899,福田組
1904,大成温調
1905,テノックス
1909,日本ドライケミカル
1911,住友林業
1914,日本基礎技術
1921,巴コーポレーション
1925,大和ハウス工業
1926,ライト工業
1928,積水ハウス
1929,日特建設
1930,北陸電気工事
1934,ユアテック
1938,日本リーテック
1939,四電工
1941,中電工
1942,関電工
1944,きんでん
1945,東京エネシス
1946,トーエネック
1948,弘電社
1949,住友電設
1950,日本電設工業
1951,エクシオグループ
1952,新日本空調
1959,九電工
1960,サンテック
1961,三機工業
1963,日揮ホールディングス
1964,中外炉工業
1965,テクノ菱和
1966,高田工業所
1967,ヤマト
1968,太平電業
1969,高砂熱学工業
1972,三晃金属工業
1975,朝日工業社
1976,明星工業
1979,大氣社
1980,ダイダン
1981,協和日成
1982,日比谷総合設備
1992,神田通信機
1994,高橋カーテンウォール工業
1997,暁飯島工業
2001,ニップン
2002,日清製粉グループ本社
2003,日東富士製粉
2004,昭和産業
2009,鳥越製粉
